Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
wu150,0.209811744811244,0,0.00627204343143942,0.0149833770169693,0,0.108148411662358,0.0380361650597379,0.00470062606985813,0,0,0.00733941173119949,0,0.0770856737981416,0.324592929527352,0,0.0822893219134527,0,0.00987479989290643,0,0.105337483573606,0.0115280115117344,0,0.02,0.269243037469838,1.0088285830567
wu151,0.273144166289281,0,0.00655989757579999,0.281857350016227,0,0,0.0969972969519027,0.0536247406760538,0,0,0,0,0.00989329343123875,0,0,0.151085513110144,0,0.0876794425186528,0.039158299430699,0,0,0,0.88,-0.0152913922610832,1.10343800075938
wu152,0.32003732408148,0,0.0202351526967823,0.191519908779898,0,0.0140015007489213,0,0,0.120353629016869,0,0.0975564172923476,0,0.0404700223813491,0,0,0.0656738216628682,0,0.074443286107754,0,0.0557089372317301,0,0,0.998,-0.0954806285576241,1.15769724319481
wu153,0.297937625517063,0,0.0263589315130248,0.115586646434992,0,0.0633991284120658,0,0.0414728912286004,0.0616794733695337,0,0.0419572236508286,0,0.0654101214994657,0.0121558682167218,0,0.106907519586902,0,0.064157558251729,0,0.0388952141721785,0.0640817981468941,0,0.984,-0.0587754203028156,1.12066486234418
wu154,0.046327513655068,0,0.015125029500704,0.00471011684297409,0,0.105133131640541,0.061462952835806,0,0,0,0.0308421385158581,0,0.0127240470833558,0.374917729136826,0,0.227931158462553,0,0.0279128861938891,0.0929132961324254,0,0,0,0,0.550825319523018,0.837813416959309
wu157,0.0837887302422702,0,0,0,0.0767328753918897,0.0986964777411587,0,0,0.0864452122668756,0,0.0857646711983001,0,0.0573064187626899,0,0,0.166776486140827,0,0.195546755495823,0.0478513943301876,0.0768126300584615,0.0242783483715167,0,0.98,-0.0534177004902513,1.10723861103378
wu158,0.0857637933832709,0,0,0,0,0.10000179792952,0.0782370825620059,0,0.0423456628421593,0,0.059678810761319,0,0,0.361826983307388,0,0.142017051329413,0,0.0156320460668498,0.114496771818075,0,0,0,0.004,0.328221805267597,0.977093892235158
wu159,0.0784796584648204,0,0,0,0,0.00876785688170257,0.0388356187544715,0,0.0678246201561524,0,0.0636777493202996,0,0,0.455687599999393,0,0.22345674557381,0,0.0419397523895924,0.0213303984597575,0,0,0,0,0.467527988863962,0.917781426393177
wu160,0.299604447943901,0,0.00339066677463519,0.0709058600400792,0.0136229278787924,0.130148766551109,0.310422372881161,0,0,0,0.000505336150370239,0.0187345598804299,0.0426611996971594,0,0,0.00323461175298598,0.0235690414589309,0.0289499496680855,0,0.0542502593223605,0,0,0.874,-0.0136243117055591,1.10293891124825
wu161,0.0819813204691692,0,0.00663674919866538,0.00727032909793954,0.0477939645879018,0.190678143550352,0.174190615707193,0,0,0,0.0489763233741569,0,0.0276682063426207,0.252815691560262,0,0.0958007600953709,0,0.062953233455789,0,0.0032346625605797,0,0,0,0.553124892333632,0.833958974562556
wu163,0.189499686402561,0,0,0,0,0.0363299806427539,0,0,0.174087554116858,0,0.0882887981139764,0,0.0664171742098405,0,0,0.295383521893981,0,0,0.138570212235906,0,0.0114230723841228,0,0.858,-0.0103734207190697,1.102116936806
wu165,0.261695887131186,0,0.00563455384597612,0.0177061510518386,0.021910352887089,0.0646968326541424,0,0,0.150146223062047,0,0.169621749441952,0,0.0388154004838926,0.0190986512477785,0,0.0793927375039853,0.0199741534426581,0,0.126759244983906,0,0.0245480622635476,0,0.97,-0.0472859653058256,1.12699045964646
wu167,0.185134079814773,0,0.0638439159055983,0.0429590520660951,0.0493367955545976,0.0217275424156933,0.0863620438159688,0,0,0,0.156916770674897,0,0,0,0,0.112583505186846,0.0406217973792458,0,0,0.0460338000110098,0.194480697175275,0,0.99,-0.068084099867477,1.10795446118439
wu168,0.0445937629549565,0,0.0676939744729044,0,0,0.393824709442886,0,0,0.0380927082275352,0,0.0879462055304047,0,0,0.0680140271669794,0,0.0630185356806879,0,0.017446277067119,0.206163698377404,0,0.0132061010791232,0,0.984,-0.0579057798561332,1.13764033726124
